"ID","SUBMITDATE","STARTLANGUAGE","397467X2X4SQ001","397467X2X6","397467X2X18SQ001","397467X2X20SQ001","397467X2X221","397467X2X222","397467X2X223","397467X2X225","397467X2X224","397467X2X781","397467X2X788","397467X2X782","397467X2X786","397467X2X784","397467X2X785","397467X2X783","397467X2X7811","397467X2X787","397467X2X789","397467X2X7810","397467X2X92","397467X2X93SQ001","397467X2X95","397467X2X96","397467X2X97","397467X2X33SQ001","397467X3X39","397467X3X50SQ001","397467X3X50SQ002","397467X3X50SQ003","397467X3X50SQ004","397467X3X247","397467X3X248","397467X3X249","397467X3X601","397467X3X602","397467X3X603","397467X3X604","397467X3X605","397467X3X606","397467X3X607","397467X3X608","397467X3X609","397467X3X6010","397467X3X6011","397467X3X55SQ001","397467X3X57SQ001","397467X3X401","397467X3X402","397467X3X404","397467X3X406","397467X3X407","397467X3X408","397467X3X409","397467X1X1","397467X1X2","397467X1X3","397467X1X3OTHER","397467X1X98","397467X1X100","397467X1X99","397467X1X179","397467X1X180"
"3","01-01-1980 00:00:00","en","3","2","3","1","1","1","1","1","1","2","4","2","1","1","1","1","8","1","1","1","1","10","4","1","2","2","1","1","4",,"1","1","2","3","5","1","10","9","4","10","10","6","10","9","5","10","2","3","5","9","2","3","5","6","2","1992.0000000000","A1",,"9","1","1","1","Youth For Future"
"4","01-01-1980 00:00:00","en","6","1","9","4","3","3","4","4","4","3","10","2","2","1","5","1","1","1","5","3","1","10","4",,,"7","2","2","3","4","2","1","1","1","4","1","10","9","5","10","10","8","9","10","2","6","2","8","5","7","9","1","3","6","1","1989.0000000000","A1",,"9","1","1","1","Y for Future + Sint"
"13","01-01-1980 00:00:00","en","6","2","4","5","2","2","3","2","2","5","5","10","1","3","1","2","1","1","1","1","1","10","2","1","1","3","2","2","3","3","2","3","3","1","5","5","5","5","5","5","5","5","5","5","5","10","6","2","1","2","2","4","4","1","1","1994.0000000000",,"Алхан-Кала","9","1","2","2",
"12","01-01-1980 00:00:00","en","10","2","5","5","2","2","3","2","1","1","1","1","1","1","1","1","1","1","1","1","1","10","4","1","1","7","2","1","3","3","2","1","1","1","1","10","10","10","10","10","10","10","10","5","10","5","5","1","1","1","1","1","5","5","1","1994.0000000000",,"Гврадейское","9","1","2","2",
"8","01-01-1980 00:00:00","ru","7","2","8","6","2","2","4","3","3","2","4","1","1","1","1","2","1","1","1","1","1","8","3","2",,"2","1","3","2","4","4","3","2","3","5","5","9","5","4","7","6","6","3","5","7","7","3","6","6","7","7","7",,"5","2","1993.0000000000",,"Казахстан, Алматы","9","2","2","2",
"9","01-01-1980 00:00:00","ru","6",,"10","4","2","4","2","2","2","6","5","2","1","1","1","3","1","1","1","1","1","10","3","1","1","4","3","4","2","4","2","1","2","3","1","1","10","6","1","10","10","7","10","10","1","10","2","5","4","5","3","3","5","8","2","1994.0000000000","A1",,"9","1","2","2",
"10","01-01-1980 00:00:00","ru","4","2","9","4","4","2","4","3","3","5","6","1","1","1",,"1","1","10","10","5","1","5","4","1","4","7","3","3","3","4","1",,"2","2","8","1","10","9","1","10","10","8","1","10","5","10","5","1","3","10","5","1","3","10","2","1995.0000000000","A1",,"7","1","2","1","Youth for future"
"11","01-01-1980 00:00:00","ru","2","1","7","3","3","2","4","3","3","1","5","2","4","1","8","1","1","5","10","5","3","1","4","1","3","1",,"3","2","4","1","3","4","3","8","1","10","8","1","10","8","2","10","10","1","10","2","5","8","6","4","2","2","5","2","1991.0000000000","A2",,"9","1","2","1","youth for future"
"14","01-01-1980 00:00:00","en","6","2","5","6","4","2","4","3","3","1","5","10","10","1","1","1","1","2","1","1","1","10","2","1","1","5","2","2","3","3","2","1","4","3","5","1","7","10","1","6","1","10","1","3","3","5","4","1","2","9","2","5","7","3","1","1994.0000000000","A1",,"9","1","2","2",
"15","01-01-1980 00:00:00","en","7","2","7","5","3","2","3","2","3","4","5","1","1","1","1","1","4","3","1","1","1","10","3","1","1","2","3","2","3","2","2","1","1","1","7",,"5","8","4","4","4","5","5","7","7","7","4","1","1","5","1","1","2","2","1","1994.0000000000",,"mesker jurt","9","1","2","2",
